car_ID,symboling,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg
108,0,peugeot 504,gas,std,four,sedan,rwd,front,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24
109,0,peugeot 304,diesel,turbo,four,sedan,rwd,front,l,four,152,idi,3.7,3.52,21,95,4150,28,33
110,0,peugeot 504 (sw),gas,std,four,wagon,rwd,front,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24
111,0,peugeot 504,diesel,turbo,four,wagon,rwd,front,l,four,152,idi,3.7,3.52,21,95,4150,25,25
112,0,peugeot 504,gas,std,four,sedan,rwd,front,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24
113,0,peugeot 604sl,diesel,turbo,four,sedan,rwd,front,l,four,152,idi,3.7,3.52,21,95,4150,28,33
114,0,peugeot 504,gas,std,four,wagon,rwd,front,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24
115,0,peugeot 505s turbo diesel,diesel,turbo,four,wagon,rwd,front,l,four,152,idi,3.7,3.52,21,95,4150,25,25
116,0,peugeot 504,gas,std,four,sedan,rwd,front,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24
117,0,peugeot 504,diesel,turbo,four,sedan,rwd,front,l,four,152,idi,3.7,3.52,21,95,4150,28,33
118,0,peugeot 604sl,gas,turbo,four,sedan,rwd,front,l,four,134,mpfi,3.61,3.21,7,142,5600,18,24
119,1,plymouth fury iii,gas,std,two,hatchback,fwd,front,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,37,41
120,1,plymouth cricket,gas,turbo,two,hatchback,fwd,front,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30
121,1,plymouth fury iii,gas,std,four,hatchback,fwd,front,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38
122,1,plymouth satellite custom (sw),gas,std,four,sedan,fwd,front,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38
123,1,plymouth fury gran sedan,gas,std,four,sedan,fwd,front,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,31,38
124,-1,plymouth valiant,gas,std,four,wagon,fwd,front,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,24,30
125,3,plymouth duster,gas,turbo,two,hatchback,rwd,front,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24
126,3,porsche macan,gas,std,two,hatchback,rwd,front,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,19,27
127,3,porcshce panamera,gas,std,two,hardtop,rwd,rear,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25
128,3,porsche cayenne,gas,std,two,hardtop,rwd,rear,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25
129,3,porsche boxter,gas,std,two,convertible,rwd,rear,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25
130,1,porsche cayenne,gas,std,two,hatchback,rwd,front,dohcv,eight,203,mpfi,3.94,3.11,10,288,5750,17,28
131,0,renault 12tl,gas,std,four,wagon,fwd,front,ohc,four,132,mpfi,3.46,3.9,8.7,90,5100,23,31
132,2,renault 5 gtl,gas,std,two,hatchback,fwd,front,ohc,four,132,mpfi,3.46,3.9,8.7,90,5100,23,31
133,3,saab 99e,gas,std,two,hatchback,fwd,front,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250,21,28
134,2,saab 99le,gas,std,four,sedan,fwd,front,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28
135,3,saab 99le,gas,std,two,hatchback,fwd,front,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250,21,28
136,2,saab 99gle,gas,std,four,sedan,fwd,front,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28
137,3,saab 99gle,gas,turbo,two,hatchback,fwd,front,dohc,four,121,mpfi,3.54,3.07,9,160,5500,19,26
138,2,saab 99e,gas,turbo,four,sedan,fwd,front,dohc,four,121,mpfi,3.54,3.07,9,160,5500,19,26
139,2,subaru,gas,std,two,hatchback,fwd,front,ohcf,four,97,2bbl,3.62,2.36,9,69,4900,31,36
140,2,subaru dl,gas,std,two,hatchback,fwd,front,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31
141,2,subaru dl,gas,std,two,hatchback,4wd,front,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31
142,0,subaru,gas,std,four,sedan,fwd,front,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800,32,37
143,0,subaru brz,gas,std,four,sedan,fwd,front,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400,28,33
144,0,subaru baja,gas,std,four,sedan,fwd,front,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,26,32
145,0,subaru r1,gas,std,four,sedan,4wd,front,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,24,25
146,0,subaru r2,gas,turbo,four,sedan,4wd,front,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,24,29
147,0,subaru trezia,gas,std,four,wagon,fwd,front,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,28,32
148,0,subaru tribeca,gas,std,four,wagon,fwd,front,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,25,31
149,0,subaru dl,gas,std,four,wagon,4wd,front,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,23,29
150,0,subaru dl,gas,turbo,four,wagon,4wd,front,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,23,23
151,1,toyota corona mark ii,gas,std,two,hatchback,fwd,front,ohc,four,92,2bbl,3.05,3.03,9,62,4800,35,39
152,1,toyota corona,gas,std,two,hatchback,fwd,front,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,38
153,1,toyota corolla 1200,gas,std,four,hatchback,fwd,front,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,38
154,0,toyota corona hardtop,gas,std,four,wagon,fwd,front,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,37
155,0,toyota corolla 1600 (sw),gas,std,four,wagon,4wd,front,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32
156,0,toyota carina,gas,std,four,wagon,4wd,front,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32
157,0,toyota mark ii,gas,std,four,sedan,fwd,front,ohc,four,98,2bbl,3.19,3.03,9,70,4800,30,37
158,0,toyota corolla 1200,gas,std,four,hatchback,fwd,front,ohc,four,98,2bbl,3.19,3.03,9,70,4800,30,37
159,0,toyota corona,diesel,std,four,sedan,fwd,front,ohc,four,110,idi,3.27,3.35,22.5,56,4500,34,36
160,0,toyota corolla,diesel,std,four,hatchback,fwd,front,ohc,four,110,idi,3.27,3.35,22.5,56,4500,38,47
161,0,toyota corona,gas,std,four,sedan,fwd,front,ohc,four,98,2bbl,3.19,3.03,9,70,4800,38,47
162,0,toyota corolla,gas,std,four,hatchback,fwd,front,ohc,four,98,2bbl,3.19,3.03,9,70,4800,28,34
163,0,toyota mark ii,gas,std,four,sedan,fwd,front,ohc,four,98,2bbl,3.19,3.03,9,70,4800,28,34
164,1,toyota corolla liftback,gas,std,two,sedan,rwd,front,ohc,four,98,2bbl,3.19,3.03,9,70,4800,29,34
165,1,toyota corona,gas,std,two,hatchback,rwd,front,ohc,four,98,2bbl,3.19,3.03,9,70,4800,29,34
166,1,toyota celica gt liftback,gas,std,two,sedan,rwd,front,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29
167,1,toyota corolla tercel,gas,std,two,hatchback,rwd,front,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29
168,2,toyota corona liftback,gas,std,two,hardtop,rwd,front,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30
169,2,toyota corolla,gas,std,two,hardtop,rwd,front,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30
170,2,toyota starlet,gas,std,two,hatchback,rwd,front,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30
171,2,toyota tercel,gas,std,two,hardtop,rwd,front,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30
172,2,toyota corolla,gas,std,two,hatchback,rwd,front,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30
173,2,toyota cressida,gas,std,two,convertible,rwd,front,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30
174,-1,toyota corolla,gas,std,four,sedan,fwd,front,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,29,34
175,-1,toyota celica gt,diesel,turbo,four,sedan,fwd,front,ohc,four,110,idi,3.27,3.35,22.5,73,4500,30,33
176,-1,toyota corona,gas,std,four,hatchback,fwd,front,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32
177,-1,toyota corolla,gas,std,four,sedan,fwd,front,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32
178,-1,toyota mark ii,gas,std,four,hatchback,fwd,front,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32
179,3,toyota corolla liftback,gas,std,two,hatchback,rwd,front,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,20,24
180,3,toyota corona,gas,std,two,hatchback,rwd,front,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,19,24
181,-1,toyota starlet,gas,std,four,sedan,rwd,front,dohc,six,171,mpfi,3.27,3.35,9.2,156,5200,20,24
182,-1,toyouta tercel,gas,std,four,wagon,rwd,front,dohc,six,161,mpfi,3.27,3.35,9.2,156,5200,19,24
183,2,vokswagen rabbit,diesel,std,two,sedan,fwd,front,ohc,four,97,idi,3.01,3.4,23,52,4800,37,46
184,2,volkswagen 1131 deluxe sedan,gas,std,two,sedan,fwd,front,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34
185,2,volkswagen model 111,diesel,std,four,sedan,fwd,front,ohc,four,97,idi,3.01,3.4,23,52,4800,37,46
186,2,volkswagen type 3,gas,std,four,sedan,fwd,front,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34
187,2,volkswagen 411 (sw),gas,std,four,sedan,fwd,front,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34
188,2,volkswagen super beetle,diesel,turbo,four,sedan,fwd,front,ohc,four,97,idi,3.01,3.4,23,68,4500,37,42
189,2,volkswagen dasher,gas,std,four,sedan,fwd,front,ohc,four,109,mpfi,3.19,3.4,10,100,5500,26,32
190,2,mercedes a class,gas,std,four,sedan,fwd,front,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34
191,2,mercedes c class coupe,gas,std,four,sedan,fwd,front,ohc,four,109,mpfi,3.19,3.4,9,85,5250,27,34
192,2,mercedes e class,diesel,turbo,four,sedan,fwd,front,ohc,four,97,idi,3.01,3.4,23,68,4500,37,42
193,2,mercedes eq class,gas,std,four,sedan,fwd,front,ohc,four,109,mpfi,3.19,3.4,10,100,5500,26,32
